overall,potential,age,league_id,league_name,club_team_id,club_name,value_eur,nationality_id,nationality_name,preferred_foot,club_jersey_number,Goalkeeper,Defense,Midfield,Attack
-1.1017751337895152,0.46575351515328306,19,19,Bundesliga,38,SV Werder Bremen,850000,21,Germany,1,29,0,0,0,1
-1.1017751337895152,-0.16512353509866737,19,10,Eredivisie,1915,FC Groningen,725000,34,Netherlands,0,22,0,1,0,0
-1.2333982577285927,-0.6382813227876302,20,4,Pro League,229,RSC Anderlecht,525000,129,Morocco,1,79,0,1,1,0
-2.0231370013630587,-1.2691583730395806,20,350,Pro League,112139,Al Nassr,250000,183,Saudi Arabia,0,70,0,1,1,0
-0.5752826380332046,0.46575351515328306,20,19,Bundesliga,110329,FC St. Pauli,1600000,4,Austria,0,34,0,1,0,0
-0.7069057619722823,-0.9537198479136054,24,308,Primeira Liga,717,Alverca,900000,38,Portugal,1,19,0,0,0,1
-1.7598907534849033,-2.0577546858545186,24,350,Pro League,112391,Al Qadsiah FC,230000,183,Saudi Arabia,1,18,0,0,1,1
-1.2333982577285927,-0.0074042725356797704,18,16,Ligue 1,1809,Toulouse FC,575000,18,France,1,21,0,0,0,1
-0.9701520098504375,-0.16512353509866737,21,80,Bundesliga,780,SV Ried,975000,4,Austria,1,13,0,0,0,1
-0.9701520098504375,-0.16512353509866737,18,308,Primeira Liga,718,Estrela da Amadora,925000,98,Angola,1,89,0,0,1,1
-0.7069057619722823,0.46575351515328306,20,19,Bundesliga,28,Hamburger SV,1300000,18,France,0,22,0,1,1,0
1.39906422105296,0.7811920402792583,29,68,Süper Lig,436,Trabzonspor,14500000,103,Cameroon,1,24,1,0,0,0
-1.7598907534849033,-2.8463509986694566,27,350,Pro League,113057,Al Fayha,150000,183,Saudi Arabia,1,70,0,1,1,0
-0.7069057619722823,-0.32284279766165497,23,31,Serie A,111434,Cremonese,1200000,27,Italy,1,55,0,1,0,0
-1.1017751337895152,0.46575351515328306,18,53,La Liga,110062,Girona FC,800000,45,Spain,1,28,0,1,1,0
-0.8385288859113599,-1.4268776356025683,25,80,Bundesliga,2015,Grazer AK 1902,650000,4,Austria,1,25,0,0,0,1
-1.496644505606748,-0.6382813227876302,18,10,Eredivisie,100646,Sparta Rotterdam,450000,34,Netherlands,0,26,0,1,1,0
-1.1017751337895152,-0.4805620602246426,18,10,Eredivisie,1971,Excelsior,700000,34,Netherlands,0,33,0,0,1,1
-0.18041326621597167,0.46575351515328306,21,16,Ligue 1,72,OGC Nice,2500000,117,Ghana,1,37,0,1,0,0
-1.496644505606748,-0.9537198479136054,20,80,Bundesliga,256,FK Austria Wien,425000,4,Austria,0,40,0,1,1,1
-0.3120363901550493,-0.7960005853506178,27,68,Süper Lig,131174,Eyüpspor,1200000,8,Bosnia and Herzegovina,0,18,0,1,0,0
-1.496644505606748,0.46575351515328306,19,4,Pro League,230,Royal Antwerp FC,575000,7,Belgium,1,77,0,0,1,0
-1.3650213816676704,-0.32284279766165497,19,68,Süper Lig,111117,Fatih Karagümrük,525000,48,Türkiye,1,72,0,0,1,1
-0.5752826380332046,-0.7960005853506178,26,68,Süper Lig,101033,Konyaspor,925000,48,Türkiye,1,5,0,1,1,0
-2.0231370013630587,-1.2691583730395806,19,80,Bundesliga,15040,WSG Tirol,250000,4,Austria,1,32,0,0,1,0
-1.2333982577285927,-2.3731932109804936,27,350,Pro League,112390,Al Fateh,240000,183,Saudi Arabia,0,13,0,1,1,0
-1.3650213816676704,-1.111439110476593,22,80,Bundesliga,15040,WSG Tirol,475000,4,Austria,1,27,0,1,0,0
-1.1017751337895152,-0.0074042725356797704,20,4,Pro League,230,Royal Antwerp FC,750000,9,Bulgaria,0,26,0,1,0,0
-1.3650213816676704,-1.2691583730395806,20,10,Eredivisie,1971,Excelsior,500000,34,Netherlands,1,28,0,0,0,1
-0.7069057619722823,0.7811920402792583,20,16,Ligue 1,69,AS Monaco,1500000,18,France,1,21,0,0,1,1
-1.496644505606748,-0.32284279766165497,19,2018,Serie A,110986,LDU Quito,475000,57,Ecuador,1,26,0,0,1,1
-0.048790142276894044,0.15031499002730783,22,308,Primeira Liga,10020,GD Estoril Praia,2600000,144,Togo,1,44,0,1,0,0
-0.7069057619722823,0.30803425259029543,22,308,Primeira Liga,1900,Moreirense FC,1400000,54,Brazil,1,3,0,1,0,0
-1.3650213816676704,0.6234727777162706,19,19,Bundesliga,28,Hamburger SV,625000,21,Germany,1,48,0,0,1,1
-1.3650213816676704,-2.3731932109804936,26,350,Pro League,115892,Al-Najma SC,275000,183,Saudi Arabia,0,8,0,0,1,1
-0.7069057619722823,-0.16512353509866737,22,16,Ligue 1,71,FC Nantes,1300000,214,Comoros,1,23,0,0,1,1
-0.9701520098504375,-0.32284279766165497,20,19,Bundesliga,10029,TSG 1899 Hoffenheim,825000,21,Germany,0,40,0,1,1,0
-0.9701520098504375,-0.4805620602246426,21,4,Pro League,1750,Cercle Brugge KSV,825000,18,France,0,4,0,1,0,0
-1.2333982577285927,0.46575351515328306,19,10,Eredivisie,1906,AZ Alkmaar,625000,34,Netherlands,1,63,0,0,1,1
-0.8385288859113599,-0.16512353509866737,21,10,Eredivisie,100638,Telstar,1100000,34,Netherlands,1,9,0,0,0,1
-0.9701520098504375,-1.5845968981655558,25,80,Bundesliga,110720,Blau-Weiß Linz,525000,117,Ghana,1,10,0,0,1,1
-1.1017751337895152,-0.32284279766165497,20,16,Ligue 1,68,FC Metz,750000,18,France,1,25,0,1,1,0
-0.44365951409412696,-0.9537198479136054,26,350,Pro League,131798,NEOM SC,1000000,183,Saudi Arabia,1,93,0,1,0,0
0.0828329816621836,-0.16512353509866737,25,308,Primeira Liga,114510,Casa Pia,2000000,38,Portugal,1,4,0,1,0,0
-1.7598907534849033,-0.16512353509866737,17,19,Bundesliga,110329,FC St. Pauli,350000,163,Japan,1,44,0,0,1,0
-0.18041326621597167,0.30803425259029543,21,80,Bundesliga,191,FC Red Bull Salzburg,2500000,163,Japan,1,91,0,1,0,0
0.0828329816621836,0.6234727777162706,22,31,Serie A,111974,Sassuolo,3300000,8,Bosnia and Herzegovina,0,80,0,1,0,0
-1.2333982577285927,-1.111439110476593,22,308,Primeira Liga,1438,Santa Clara,550000,104,Cabo Verde,1,65,0,0,1,0
-1.6282676295458256,-0.0074042725356797704,19,2018,Serie A,112908,Independiente del Valle,400000,57,Ecuador,0,56,0,1,1,0
-1.891513877423981,-1.2691583730395806,20,16,Ligue 1,68,FC Metz,300000,129,Morocco,1,29,0,0,1,0
-1.2333982577285927,-1.2691583730395806,24,350,Pro League,111674,Al Shabab,475000,183,Saudi Arabia,0,16,0,1,1,0
-0.3120363901550493,-0.9537198479136054,26,308,Primeira Liga,718,Estrela da Amadora,1100000,126,Mali,1,5,0,1,0,0
-1.3650213816676704,0.6234727777162706,17,80,Bundesliga,780,SV Ried,600000,4,Austria,1,15,0,0,1,1
-1.891513877423981,-3.1617895237954317,28,350,Pro League,115892,Al-Najma SC,130000,183,Saudi Arabia,1,55,0,0,1,0
-0.8385288859113599,-0.32284279766165497,19,308,Primeira Liga,717,Alverca,1000000,54,Brazil,1,77,0,0,0,1
-2.1547601253021362,-1.2691583730395806,20,350,Pro League,605,Al Hilal,230000,183,Saudi Arabia,1,96,0,0,1,0
-1.6282676295458256,-0.32284279766165497,17,10,Eredivisie,100632,Go Ahead Eagles,400000,117,Ghana,1,32,0,0,0,1
-0.9701520098504375,-0.16512353509866737,19,16,Ligue 1,219,Olympique de Marseille,950000,18,France,0,48,0,0,1,1
-1.496644505606748,-0.4805620602246426,21,68,Süper Lig,101020,Kayserispor,500000,48,Türkiye,1,99,0,0,0,1
-0.9701520098504375,0.46575351515328306,19,10,Eredivisie,1903,FC Utrecht,1000000,13,Denmark,0,45,0,0,1,1
-0.44365951409412696,1.5697883530941963,18,80,Bundesliga,191,FC Red Bull Salzburg,2000000,18,France,1,23,0,1,0,0
-1.1017751337895152,-0.9537198479136054,22,10,Eredivisie,100638,Telstar,700000,34,Netherlands,1,14,0,1,0,0
-0.9701520098504375,-1.111439110476593,23,80,Bundesliga,15040,WSG Tirol,625000,95,United States,1,7,0,0,1,1
-0.3120363901550493,0.30803425259029543,22,31,Serie A,44,Inter,2100000,52,Argentina,0,42,0,1,0,0
-0.3120363901550493,0.15031499002730783,24,68,Süper Lig,113142,Alanyaspor,2100000,38,Portugal,1,3,0,1,0,0
-1.3650213816676704,-0.32284279766165497,21,68,Süper Lig,113142,Alanyaspor,550000,48,Türkiye,1,6,0,0,1,0
-1.2333982577285927,0.15031499002730783,19,80,Bundesliga,252,LASK Linz,625000,18,France,1,47,0,0,1,1
-0.9701520098504375,-0.32284279766165497,21,308,Primeira Liga,10020,GD Estoril Praia,900000,82,Jamaica,1,11,0,0,0,1
-0.5752826380332046,-0.16512353509866737,20,31,Serie A,1842,Cagliari,1500000,60,Uruguay,0,15,0,1,0,0
-1.6282676295458256,-1.4268776356025683,20,68,Süper Lig,101033,Konyaspor,350000,4,Austria,1,14,0,0,1,0
